"[BLANK], [BLANK] - Age [BLANK], Year: [BLANK] - First Cavalry, E-J"
"Eadens, J - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Eakin, R G - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Eakin, Robert G - Age [Blank], Year: 1863 - First Cavalry, E-J"
"East, Samuel - Age [Blank], Year: 1861 - First Cavalry, E-J"
"East, T J - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Easterwood, H J - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Easterwood, John - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Easterwood, N D - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Easterwood, T J - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Eatman, A - Age 24, Year: 1861 - First Cavalry, E-J"
"Eckford, H G - Age [Blank], Year: 1864 - First Cavalry, E-J"
"Eckford, James W - Age [Blank], Year: 1861 - First Cavalry, E-J"
"Eddings, W W - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Edgerton, J W - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Edminson, William - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Edmondson, W E - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Edmondson, William E - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Edmundson, William - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Edwards, A A - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Edwards, M B - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Edwards, T J - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Edwards, W A - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Edwards, W J - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Eiland, James O - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Eiland, Lake E - Age [Blank], Year: 1861 - First Cavalry, E-J"
"Elam, M - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Elan, William M - Age 43, Year: 1863 - First Cavalry, E-J"
"Elett, W S - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Elette, Richard - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Eline, J O - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Ellett, John - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Ellett, Richard A - Age [Blank], Year: 1864 - First Cavalry, E-J"
"Ellett, W S - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Elliott, James J - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Ellis, Benjamin S - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Ellis, B S - Age [Blank], Year: [BLANK] - First Cavalry, E-J"
"Ellis, Joseph - Age [Blank], Year: 1863 - First Cavalry, E-J"
"Ellis, R E - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Ellison, J H - Age [Blank], Year: 1865 - First Cavalry, E-J"
"Elmore, G T - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Elmore, J W - Age [Blank], Year: 1862 - First Cavalry, E-J"
"Ely, Elias C - Age 28, Year: 1862 - First Cavalry, E-J"
"Ely, J W - Age [Blank], Year: 1863 - First Cavalry, E-J"
